Номер группы: 2120, Дата: 28-04-2024, Id группы: 3, Id предмета: 3, Случайное число: 1
Номер группы: 2120, Дата: 28-04-2024, Id группы: 3, Id предмета: 3, Случайное число: 2
Номер группы: 2120, Дата: 28-04-2024, Id группы: 3, Id предмета: 3, Случайное число: 3
Номер группы: 2120, Дата: 28-04-2024, Id группы: 3, Id предмета: 4, Случайное число: 1
Номер группы: 2120, Дата: 28-04-2024, Id группы: 3, Id предмета: 4, Случайное число: 1
Номер группы: 2120, Дата: 28-04-2024, Id группы: 3, Id предмета: 4, Случайное число: 2
Номер группы: 2120, Дата: 28-04-2024, Id группы: 3, Id предмета: 4, Случайное число: 3
Номер группы: 2120, Дата: 28-04-2024, Id группы: 3, Id предмета: 3, Случайное число: 1
Номер группы: 2120, Дата: 28-04-2024, Id группы: 3, Id предмета: 3, Случайное число: 2
Номер группы: 2120, Дата: 28-04-2024, Id группы: 3, Id предмета: 3, Случайное число: 3
Номер группы: 2120, Дата: 28-04-2024, Id группы: 3, Id предмета: 4, Случайное число: 1
Номер группы: 2120, Дата: 28-04-2024, Id группы: 3, Id предмета: 3, Случайное число: 2
Номер группы: 2120, Дата: 28-04-2024, Id группы: 3, Id предмета: 4, Случайное число: 3
Номер группы: 2120, Дата: 28-04-2024, Id группы: 3, Id предмета: 3, Случайное число: 1
Номер группы: 2120, Дата: 28-04-2024, Id группы: 3, Id предмета: 4, Случайное число: 2
Номер группы: 2120, Дата: 28-04-2024, Id группы: 3, Id предмета: 4, Случайное число: 3
Номер группы: 2120, Дата: 28-04-2024, Id группы: 3, Id предмета: 4, Случайное число: 1
Номер группы: 2120, Дата: 28-04-2024, Id группы: 3, Id предмета: 4, Случайное число: 1
Номер группы: 2120, Дата: 28-04-2024, Id группы: 3, Id предмета: 4, Случайное число: 2
Номер группы: 2120, Дата: 28-04-2024, Id группы: 3, Id предмета: 4, Случайное число: 3
Номер группы: 2120, Дата: 28-04-2024, Id группы: 3, Id предмета: 3, Случайное число: 1
Номер группы: 2120, Дата: 28-04-2024, Id группы: 3, Id предмета: 3, Случайное число: 2
Номер группы: 2120, Дата: 28-04-2024, Id группы: 3, Id предмета: 3, Случайное число: 3
